BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster_Fix
40.90074900000002,0.818182,4.5685062016165,0.0,4.5685062016165,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,5.312230547798351,4.945277144710759,0.0,12,0
3202.4674160000004,0.909091,0.0,0.0,0.0,8.77089628414314,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,8.319725329557853,6.978530763203816,0.222222,12,0
2495.148862,1.0,6.651791487715673,6.651791487715673,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,6.434653643065494,6.442993546160169,0.0,12,0
1666.670542,0.636364,7.313220387090301,7.313220387090302,0.0,5.331694196081131,0.08333299999999999,0.083333,0.0,0.083333,1.0,1.0,7500.0,8.881784197001252e-16,5.747301459426504,0.0,12,0
817.714335,1.0,2.833213344056216,2.833213344056216,0.0,0.0,0.08333299999999999,0.083333,0.0,0.0,0.0,1.0,1200.0,6.521114029626576,5.5044825455607045,0.0,12,0
1809.828751,1.0,7.1961470995031585,0.0,7.1961470995031585,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,7.244982780319138,7.786653975212626,0.0,12,0
627.260806,1.0,8.866724077232586,8.764620296057728,6.535792642927974,0.0,1.0,1.0,0.9999999999999999,0.0,0.0,64.0,13500.0,8.757046643926731,5.293635895542641,1.0,12,0
1823.652743,1.0,6.080390756302384,0.0,6.080390756302384,0.0,1.0,0.0,0.9999999999999999,0.0,0.0,12.0,2300.0,6.522188502413885,6.278585193239496,0.0,12,0
1014.926473,1.0,6.759823554635403,6.496005463406834,5.303304908059076,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,6.535645496995635,5.7460862795529755,0.0,12,0
152.22597500000006,0.545455,7.156644546714762,7.156644546714762,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,7.06113759883932,4.618108740719055,0.0,12,0
